Date,Time,Open,High,Low,Close,Volume
2023-01-03,15:15,10953.25,10973.0,10953.25,10967.75,2855
2023-01-03,15:16,10967.75,10968.5,10961.5,10966.0,1000
2023-01-03,15:17,10966.0,10972.25,10963.5,10967.5,1138
2023-01-03,15:18,10967.25,10971.25,10965.25,10966.5,892
2023-01-03,15:19,10966.75,10967.75,10955.75,10956.0,1074
2023-01-03,15:20,10956.25,10957.0,10938.5,10941.5,1661
2023-01-03,15:21,10941.25,10941.75,10930.0,10937.0,1715
2023-01-03,15:22,10936.5,10940.75,10935.25,10936.75,708
2023-01-03,15:23,10936.75,10938.75,10932.5,10936.25,900
2023-01-03,15:24,10935.5,10937.0,10931.0,10933.25,740
2023-01-03,15:25,10933.25,10940.0,10931.0,10937.5,929
2023-01-03,15:26,10937.25,10947.75,10937.25,10941.75,1540
2023-01-03,15:27,10942.0,10944.5,10936.5,10940.75,745
2023-01-03,15:28,10941.5,10943.5,10934.25,10940.75,623
2023-01-03,15:29,10940.5,10945.5,10937.0,10943.25,607
2023-01-03,15:30,10943.5,10951.75,10943.0,10949.25,1275
2023-01-03,15:31,10948.75,10951.25,10940.0,10947.0,944
2023-01-03,15:32,10946.75,10963.75,10946.5,10959.25,1514
2023-01-03,15:33,10959.5,10963.75,10958.5,10963.25,1238
2023-01-03,15:34,10963.0,10964.0,10955.75,10957.0,1189
2023-01-03,15:35,10957.0,10963.0,10955.0,10960.0,895
2023-01-03,15:36,10960.25,10964.25,10957.5,10959.25,799
2023-01-03,15:37,10959.0,10959.25,10942.0,10942.5,1230
2023-01-03,15:38,10942.25,10949.25,10941.75,10945.25,925
2023-01-03,15:39,10945.5,10949.75,10943.5,10945.25,787
2023-01-03,15:40,10945.0,10953.25,10942.75,10951.0,752
2023-01-03,15:41,10951.25,10951.5,10935.25,10937.75,1988
2023-01-03,15:42,10937.5,10943.0,10934.5,10942.0,1193
2023-01-03,15:43,10942.0,10944.75,10940.0,10942.75,758
2023-01-03,15:44,10943.0,10946.25,10937.75,10940.75,789
2023-01-03,15:45,10940.5,10941.75,10932.75,10935.0,848
2023-01-03,15:46,10935.25,10944.25,10935.25,10940.5,822
2023-01-03,15:47,10940.25,10943.75,10936.75,10943.0,684
2023-01-03,15:48,10942.75,10953.75,10942.25,10949.5,1367
2023-01-03,15:49,10949.5,10950.0,10942.25,10945.75,853
2023-01-03,15:50,10945.5,10959.0,10933.75,10941.75,2307
2023-01-03,15:51,10941.75,10948.5,10939.25,10946.0,801
2023-01-03,15:52,10946.5,10947.75,10941.5,10945.25,650
2023-01-03,15:53,10944.75,10950.25,10943.25,10946.5,663
2023-01-03,15:54,10946.25,10958.0,10944.5,10952.75,1722
2023-01-03,15:55,10953.0,10953.5,10936.0,10943.0,1955
2023-01-03,15:56,10943.25,10943.25,10936.75,10939.5,1042
2023-01-03,15:57,10939.0,10947.25,10936.75,10945.75,1124
2023-01-03,15:58,10946.0,10950.5,10944.5,10948.25,1121
2023-01-03,15:59,10948.25,10948.75,10942.0,10942.75,5928
2023-01-03,16:00,10942.5,10946.25,10931.0,10933.25,2407
